Label,X,Y
0,-0.00000000,0.00000000
0,-0.00240271,0.00981109
0,0.00781786,0.01862801
0,-0.00265771,0.03018626
0,0.00854646,0.03948980
0,-0.00953132,0.04959752
0,-0.00358199,0.06050012
0,0.01541450,0.06900640
0,0.03837702,0.07111365
0,0.03354310,0.08449452
0,-0.00549440,0.10086056
0,0.01784833,0.10966821
0,0.07450993,0.09560674
0,0.07963951,0.10440635
0,0.07675261,0.11877287
0,0.06253303,0.13800892
0,0.10181517,0.12551277
0,0.11396873,0.12844421
0,0.10567574,0.14795435
0,0.15305636,0.11578742
0,0.15074921,0.13448731
0,0.14612172,0.15376558
0,0.20943227,0.07430235
0,0.20851978,0.10243821
0,0.15778573,0.18404667
0,0.20302943,0.15016010
0,0.20601242,0.16288473
0,0.23000419,0.14655456
0,0.24477023,0.14170171
0,0.29072349,0.03588071
0,0.28578404,0.10077125
0,0.28935986,0.11967494
0,0.27847594,0.16410449
0,0.33313537,0.01148627
0,0.30249311,0.16261938
0,0.34546532,0.07510630
0,0.36067933,0.04627986
0,0.36359786,0.08646514
0,0.38374633,0.00840571
0,0.38586460,0.07935211
0,0.40402943,0.00297783
0,0.40641880,-0.07960448
0,0.38529836,-0.17755790
0,0.36848045,-0.22994864
0,0.42424822,-0.13245494
0,0.43792523,-0.12179105
0,0.46150786,-0.05391503
0,0.46742983,-0.08303324
0,0.42631510,-0.23094044
0,0.45223375,-0.20114581
0,0.24143525,-0.44360459
0,0.47776647,-0.19266625
0,0.43370807,-0.29628959
0,0.47348526,-0.24983017
0,0.53820078,-0.08865993
0,0.29899582,-0.46823442
0,0.45405126,-0.33734968
0,0.35722295,-0.45154019
0,0.21774855,-0.54388956
0,0.36183200,-0.47354561
0,0.30144891,-0.52577373
0,0.53792900,-0.30047883
0,0.45596514,-0.42930253
0,0.32177197,-0.54901865
0,0.21925011,-0.60814959
0,0.15947718,-0.63690305
0,0.14925155,-0.64974489
0,0.36677684,-0.56876114
0,0.09442147,-0.68034784
0,0.33361081,-0.61194002
0,0.32220275,-0.62939207
0,0.19378957,-0.69049321
0,0.09426698,-0.72113754
0,0.16499423,-0.71867721
0,-0.08768096,-0.74231432
0,0.17594529,-0.73686110
0,0.16714990,-0.74925865
0,-0.13365988,-0.76620709
0,0.07952565,-0.78385500
0,-0.10943879,-0.79043969
0,-0.04957906,-0.80655844
0,-0.11079480,-0.81064542
0,-0.09905542,-0.82233841
0,-0.45929587,-0.70138062
0,-0.17981892,-0.82921149
0,-0.49014935,-0.70492786
0,-0.40463161,-0.76869378
0,-0.23281954,-0.84738610
0,-0.23132981,-0.85825985
0,-0.40902764,-0.80054933
0,-0.67152940,-0.61277609
0,-0.43829452,-0.80796763
0,-0.48077825,-0.79525947
0,-0.31447716,-0.88519212
0,-0.58663668,-0.74659096
0,-0.35836046,-0.89016975
0,-0.44619441,-0.86094295
0,-0.69773041,-0.68787815
0,-0.59244284,-0.79303940
0,-0.72554514,-0.68817458
1,-0.00000000,-0.00000000
1,-0.00793445,-0.00625099
1,-0.01369875,-0.01484809
1,-0.02229537,-0.02052292
1,-0.03325992,-0.02294045
1,-0.04318947,-0.02618071
1,-0.04015061,-0.04539849
1,-0.07029534,-0.00761937
1,-0.07977470,-0.01288187
1,-0.08203713,-0.03917105
1,-0.10045941,-0.01053313
1,-0.09930762,-0.04983649
1,-0.10770802,-0.05560000
1,-0.12875693,0.02578357
1,-0.13751665,-0.03297165
1,-0.14841079,0.03051359
1,-0.14555409,-0.07024094
1,-0.16740787,-0.03822816
1,-0.18141356,-0.01212312
1,-0.19136886,0.01452364
1,-0.20141174,-0.01566761
1,-0.20753409,0.04387494
1,-0.22220860,-0.00246061
1,-0.23190200,-0.01398375
1,-0.23808304,0.04567253
1,-0.24391664,0.06537336
1,-0.25166552,0.07508009
1,-0.25810152,0.08811226
1,-0.26210142,0.10627645
1,-0.24597205,0.15907646
1,-0.28873553,0.09197369
1,-0.28720024,0.12476875
1,-0.24206877,0.21420048
1,-0.21549600,0.25430805
1,-0.28187744,0.19619444
1,-0.18662772,0.30026212
1,-0.31087157,0.18865384
1,-0.26076413,0.26773437
1,-0.25938375,0.28293458
1,-0.31867052,0.23159738
1,-0.31286701,0.25566166
1,-0.25034387,0.32991068
1,-0.28377349,0.31536366
1,-0.17355107,0.39816359
1,-0.24815328,0.36871509
1,-0.28216097,0.35636604
1,-0.18055065,0.42813292
1,-0.11312869,0.46107165
1,-0.12745610,0.46779589
1,-0.04404117,0.49298618
1,-0.01380575,0.50486178
1,-0.20247554,0.47369266
1,0.08419038,0.51846137
1,-0.05814456,0.53218664
1,-0.00041045,0.54545439
1,-0.13256094,0.53950864
1,0.17030174,0.53941141
1,-0.04868932,0.57369516
1,-0.03168862,0.58500095
1,0.22490617,0.55189225
1,-0.01663587,0.60583224
1,0.04769974,0.61431252
1,0.13264013,0.61205512
1,0.11296553,0.62625671
1,0.13057828,0.63313968
1,0.35742829,0.55074811
1,0.19732792,0.63679364
1,0.29032326,0.61133206
1,0.22665470,0.64839512
1,0.30974827,0.62435788
1,0.43096932,0.56054833
1,0.39051906,0.60152318
1,0.38420748,0.61750323
1,0.18566960,0.71361532
1,0.48622548,0.56771761
1,0.39760362,0.64485067
1,0.55361825,0.53182183
1,0.66653247,0.40084004
1,0.50178170,0.60742745
1,0.47745194,0.63938361
1,0.63187869,0.50371014
1,0.71702423,0.39407835
1,0.50176108,0.65900551
1,0.65546883,0.52273136
1,0.66824033,0.52285887
1,0.79811216,0.31652277
1,0.79876569,0.34145314
1,0.84477863,0.24210990
1,0.87404180,0.16178501
1,0.84820403,0.29788045
1,0.90599989,0.07490309
1,0.88061410,0.26350066
1,0.85267636,0.36949746
1,0.93782965,0.05418968
1,0.93603579,0.15930367
1,0.95957547,-0.00627082
1,0.92361299,-0.29538323
1,0.93393030,0.29627399
1,0.97545481,-0.16848719
1,0.97365652,-0.22801971
2,0.00000000,-0.00000000
2,0.00998697,-0.00151356
2,0.01999912,-0.00285602
2,0.02988085,-0.00504066
2,0.04034445,0.00219363
2,0.04992499,-0.00763251
2,0.04995652,-0.03431386
2,0.05650913,-0.04249951
2,0.07074263,-0.03905671
2,0.07820214,-0.04635611
2,0.10033935,-0.01162134
2,0.09807409,-0.05222215
2,0.11100545,-0.04868437
2,0.10128301,-0.08357566
2,0.12637534,-0.06346049
2,0.10581670,-0.10844200
2,0.06693714,-0.14710269
2,0.13322296,-0.10834404
2,0.12655967,-0.13053927
2,0.11682810,-0.15226349
2,0.10418336,-0.17308376
2,0.17207298,-0.12404152
2,0.12391449,-0.18446657
2,0.09725313,-0.21098795
2,0.12189054,-0.20955240
2,0.10367601,-0.23026135
2,0.03213946,-0.26065228
2,0.05637219,-0.26683767
2,0.13411591,-0.24900755
2,0.02792210,-0.29159549
2,0.12469183,-0.27618709
2,0.01997087,-0.31249381
2,-0.01681123,-0.32279485
2,0.02706942,-0.33223238
2,-0.06460096,-0.33730382
2,0.00984124,-0.35339835
2,-0.00005098,-0.36363636
2,-0.03656647,-0.37194424
2,0.10238403,-0.36993164
2,-0.22793234,-0.32130218
2,-0.05242973,-0.40062423
2,0.02459588,-0.41341039
2,0.06037164,-0.41992487
2,-0.11313183,-0.41935118
2,-0.15389920,-0.41694832
2,-0.15152272,-0.42854689
